Train,Test,224_Duplicated_AC,F1,EPOCH,SENS,ESP
RumexWeeds/20210806_stengard/seq,RumexWeeds/20210807_lundholm/seq,0.6350974930362117,0.0,5,0.0,1.0
RumexWeeds/20210806_stengard/seq,RumexWeeds/20210807_lundholm/seq,0.6350974930362117,0.0,7,0.0,1.0
RumexWeeds/20210806_stengard/seq,RumexWeeds/20210807_lundholm/seq,0.6350974930362117,0.0,9,0.0,1.0
RumexWeeds/20210806_stengard/seq,RumexWeeds/20210807_lundholm/seq,0.6350974930362117,0.0,11,0.0,1.0
RumexWeeds/20210806_stengard/seq,RumexWeeds/20210807_lundholm/seq,0.6350974930362117,0.0,13,0.0,1.0
RumexWeeds/20210806_stengard/seq,RumexWeeds/20210807_lundholm/seq,0.6350974930362117,0.0,15,0.0,1.0
