Train,Test,224_Duplicated_AC,F1,EPOCH,SENS,ESP
RumexWeeds/20210908_lundholm/seq,RumexWeeds/20211006_stengard/seq,0.16815988973121984,0.0,5,0.0,1.0
RumexWeeds/20210908_lundholm/seq,RumexWeeds/20211006_stengard/seq,0.16815988973121984,0.0,7,0.0,1.0
RumexWeeds/20210908_lundholm/seq,RumexWeeds/20211006_stengard/seq,0.16815988973121984,0.0,9,0.0,1.0
RumexWeeds/20210908_lundholm/seq,RumexWeeds/20211006_stengard/seq,0.16815988973121984,0.0,11,0.0,1.0
RumexWeeds/20210908_lundholm/seq,RumexWeeds/20211006_stengard/seq,0.16815988973121984,0.0,13,0.0,1.0
RumexWeeds/20210908_lundholm/seq,RumexWeeds/20211006_stengard/seq,0.16815988973121984,0.0,15,0.0,1.0
